smiles,pIC50(M)
COc1c(N2CC[C@@H](CN)C2)c(F)cc2c1N(Cc1ccc(-c3ccccc3)cc1)CC(C(=O)O)C2=O,6.920818753952375
CNc1cc(F)cc2cc(C(=O)Nc3ccc(C(=O)O)cc3CN(CC(=O)O)C3CCCCC3)c(=O)[nH]c12,9.244125144327509
COC(=O)C1C[C@@H](NCc2[nH]nc3cccc(OCc4ccc(C(C)(C)C)cc4)c23)CN1,4.73754891026957
C[C@@H]1O[C@H](C)CN2c3c(cc4c(-c5ccccn5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,6.698970004336019
CC1(CN)CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,5.555955204081924
COc1c(N2CC[C@@H](CN)C2)c(F)cc2c1N(Cc1ccccc1)CC(C(=O)O)C2=O,4.634512015109101
COc1ccc2ncc(F)c(CCCN3CCN(CCSc4cccs4)CC3C(=O)O)c2c1,5.267606240177032
COc1c(N2CC3CCCNC3C2)c(F)cc2c1N(C1CC1)CC(C(=O)O)C2=O,6.522878745280337
COC[C@H]1COC(=O)N1c1noc2c(F)c3c(cc12)CC1(C(=O)NC(=O)NC1=O)[C@H]1[C@H](C)O[C@H](C)CN31,6.853871964321762
N#Cc1cnc2ccc(=O)n(CCN[C@H]3CC[C@H]4[C@H](C3)OC(=O)N4c3ccc4c(n3)NC(=O)CO4)c2c1,7.045757490560675
Cc1noc2c(F)c3c(cc12)CC1(C(=O)NC(=O)NC1=O)[C@H]1[C@H](C)O[C@H](C)CN31,6.3979400086720375
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc(OC)c1OC,2.8601209135987635
O=C(O)CCC(=O)N=c1[nH]c2c(s1)C[C@@H](NC(=O)c1cc(Cl)c(Cl)[nH]1)CC2,6.522878745280337
C[C@@H]1O[C@H](C)CN2c3c(cc4c(=NCC5CCCCC5)[nH]oc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,5.537602002101044
