smiles,pIC50(M)
N[C@H]1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2Oc2cc([N+](=O)[O-])ccc2-4)C1,5.4089353929735005
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)c4ccc(SC)cc4)c(O)oc3c2Cl)OC1(C)C,7.075720713938118
COC(=O)CC(=O)Nc1ccc2[nH]c(=NC(=O)c3cc(Br)c(Br)[nH]3)sc2c1,5.698970004336019
O=C(O)CCNC(=O)C1CCC(NC(=O)c2cc(Br)c(Br)[nH]2)CC1,4
O=C(O)C(=O)N=c1[nH]c2ccc(NC(=O)c3cc(Br)c(Br)[nH]3)cc2s1,7.42021640338319
O=C(O)CCC(=O)N1CCC(N(Cc2ccccc2)C(=O)c2cc(Br)c(Br)[nH]2)CC1,4.305394801066432
COC(=O)c1ccc(C(=O)N2CCC(NC(=O)c3cc(Br)c(Br)[nH]3)CC2)cc1,3.318758762624413
COC(=O)CCC(=O)N=c1[nH]c2ccc(NC(=O)c3cc(Br)c(Br)[nH]3)cc2s1,6.060480747381382
CC(C)Oc1cc(C(=O)NC(C)C(=O)O)ccc1NC(=O)c1cc(Br)c(Br)[nH]1,6.431798275933005
O=C(O)CCCC(=O)N1CCC(NC(=O)c2cc(Br)c(Br)[nH]2)CC1,5.497572880015567
Cc1[nH]c(C(=O)Nc2ccc(C(=O)NC(C)c3n[nH]c(=O)o3)cc2OC(C)C)c(Cl)c1Cl,7.070581074285707
CCNC(=O)N=c1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc3ncccc3nc2N2[C@H]3CC[C@@H]2C[C@H](N)C3)c[nH]1,8.522878745280337
CCNC(=O)N=c1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc3ncccc3nc2N2C3CCC2CN(C)C3)c[nH]1,8.154901959985743
COC(=O)CC(=O)N=c1[nH]c2ccc(NC(=O)c3cc(Cl)c(Cl)[nH]3)cc2s1,5.102372908709558
CCOC(=O)C(=O)Nc1ccc2[nH]c(=NC(=O)c3cc(Cl)c(Cl)[nH]3)sc2c1,4
Cc1[nH]c(C(=O)Nc2ccc(C(=O)NC(C)C(=O)O)cc2OCCNC(=O)OC(C)(C)C)c(Cl)c1Cl,6.229147988357856
O=C(NC1CCN(C(=O)c2ccc(O)c(O)c2)CC1)c1cc2ccccc2[nH]1,3.823908740944319
COc1cc(C(=O)Nc2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](O)[C@H]4OC(=O)c4ccc(C)[nH]4)c(Cl)c3oc2=O)ccc1O,6.337242168318426
CCNC(=O)N=c1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc(C(=O)O)ccc2N2C3CCC2CN(C)C3)c[nH]1,8.045757490560675
Cc1[nH]c(C(=O)Nc2ccc(C(=O)NC(C)c3n[nH]c(=O)o3)cc2OCCN)c(Cl)c1Cl,7.886056647693163
O=C(O)CC(=O)N1CCC(NC(=O)c2cc3ccccc3[nH]2)CC1,4
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2Oc2cc([N+](=O)[O-])ccc2-4)CC1,4.028028723600244
O=C(O)CC(=O)Nc1ccc2[nH]c(=NC(=O)c3cc(Cl)c(Cl)[nH]3)sc2c1,6.920818753952375
Nc1ccc2[nH]c(=NC(=O)c3cc(Br)c(Br)[nH]3)sc2c1,5.698970004336019
CCNC(=O)N=c1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc(-c3n[nH]c(=O)o3)cnc2N2C3CCC2CN(C)C3)c[nH]1,8.221848749616356
O=C(O)C(=O)N1CCC(NC(=O)c2cc(Br)c(Br)[nH]2)CC1,4.308034897232639
CCCc1cc(C(=O)Nc2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](O)[C@H]4O)c(C)c3oc2=O)ccc1O,5
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)c4ccc(N)c(C)c4)c(O)oc3c2C)OC1(C)C,6.818156412055227
NCCOc1cc(C(=O)NC(Cc2ccccc2)C(=O)O)ccc1NC(=O)c1cc(Br)c(Br)[nH]1,6.431798275933005
COc1cc(C=CC(=O)Nc2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](OC(=O)c5ccc(C)[nH]5)[C@H]4O)c(Cl)c3oc2=O)ccc1O,6.580044251510242
CO[C@@H]1[C@@H](O)[C@@H](OC(=O)c2ccc(C)[nH]2)[C@H](Oc2ccc3c(=O)c(NC(=O)C=Cc4ccccc4)c(O)oc3c2Cl)OC1(C)C,6.223298816011589
CCNC(=O)N=c1[nH]c2cc(-c3cnc(N4CCC(C(=O)O)CC4)nc3)cc(-c3ccccn3)c2s1,6.703334809738469
COc1cc(C(=O)Nc2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](O)[C@H]4O)c(C)c3oc2=O)ccc1O,5
O=C(O)CNC(=O)C1CCC(NC(=O)c2cc(Br)c(Br)[nH]2)CC1,4.82102305270683
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2Oc2cc(N)ccc2-4)CC1,4.630320400440184
CCNC(=O)N=c1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc(-c3nn[nH]n3)cnc2N2C3CCC2CN(C)C3)c[nH]1,8.045757490560675
Nc1ccc2[nH]c(=NC(=O)c3cc(Cl)c(Cl)[nH]3)sc2c1,4
Nc1ccc2c(c1)Oc1c(N3CC[C@@H](N)C3)c(F)cc3c(=O)c(C(=O)O)cn-2c13,5.4089353929735005
O=C(O)CNC(=O)c1ccc(NC(=O)c2cc(Br)c(Br)[nH]2)cc1OCc1ccccc1,7.055517327849832
Nc1ccc2c(c1)Oc1c(NCCN3CCOCC3)c(F)cc3c(=O)c(C(=O)O)cn-2c13,4.630320400440184
Cc1[nH]c(C(=O)Nc2ccc(C(=O)NC(C)C(=O)O)cc2OCCN)c(Cl)c1Cl,7.552841968657781
COc1cc(C(=O)Nc2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](OC(=O)c5ccc(C)[nH]5)[C@H]4O)c(Cl)c3oc2=O)ccc1O,6.913640169325252
CO[C@@H]1[C@@H](O)[C@@H](OC(=O)c2ccc(C)[nH]2)[C@H](Oc2ccc3c(=O)c(NC(=O)c4ccc(SC)cc4)c(O)oc3c2Cl)OC1(C)C,6.552841968657781
O=C(O)c1ccc(C(=O)N2CCC(NC(=O)c3cc(Br)c(Br)[nH]3)CC2)cc1,4.826813731587726
CCNC(=O)N=c1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc(C(=O)NS(C)(=O)=O)cnc2N2C3CCC2CN(C)C3)c[nH]1,8.096910013008056
Nc1ccc2c(c1)Oc1c(F)c(F)cc3c(=O)c(C(=O)O)cn-2c13,3.903089986991944
Cc1[nH]c(C(=O)Nc2ccc(C(=O)NCC(=O)O)cc2OC(C)C)c(Cl)c1Cl,7.327902142064283
CCCc1cc(C(=O)Nc2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](OC(=O)c5ccc(C)[nH]5)[C@H]4O)c(C)c3oc2=O)ccc1O,7.075720713938118
COC(=O)CCC(=O)N1CCC(NC(=O)c2cc(Br)c(Br)[nH]2)CC1,4.679853713888946
C=CCc1cc(C(=O)Nc2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](O)[C@H]4OC(=O)c4ccc(C)[nH]4)c(C)c3oc2=O)ccc1O,6.337242168318426
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)C=Cc4ccccc4)c(O)oc3c2Cl)OC1(C)C,7.045757490560675
O=C(NC1CCN(C(=O)c2ccc(O)c(O)c2)CC1)c1cc(Cl)c(Cl)[nH]1,5.092588639225414
CCNC(=O)N=c1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc3ncccc3nc2N2CCC(N)CC2)c[nH]1,8.221848749616356
COC(=O)CC(=O)Nc1ccc2[nH]c(=NC(=O)c3cc(Cl)c(Cl)[nH]3)sc2c1,6.657577319177793
CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)C=Cc4ccccc4)c(O)oc3c2C)OC1(C)C,5
COC(=O)CC(=O)N=c1[nH]c2ccc(NC(=O)c3cc(Br)c(Br)[nH]3)cc2s1,6.619788758288394
COC(=O)CCC(=O)Nc1ccc2[nH]c(=NC(=O)c3cc(Br)c(Br)[nH]3)sc2c1,5.154901959985743
O=C(O)CCC(=O)N=c1[nH]c2ccc(NC(=O)c3cc(Br)c(Br)[nH]3)cc2s1,7.244125144327507
O=C(O)CCC(=O)Nc1ccc2[nH]c(=NC(=O)c3cc(Br)c(Br)[nH]3)sc2c1,7.481486060122113
O=C(O)CCC(=O)N1CCC(NC(=O)c2cc(Br)c(Br)[nH]2)CC1,5.809668301829708
C=CCc1cc(C(=O)Nc2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](OC(=O)c5ccc(C)[nH]5)[C@H]4O)c(C)c3oc2=O)ccc1O,6.935542010773082
Nc1ccc2c(c1)Oc1c(N3CCOCC3)c(F)cc3c(=O)c(C(=O)O)cn-2c13,5.107905397309519
O=C(O)C(=O)Nc1ccc2[nH]c(=NC(=O)c3cc(Br)c(Br)[nH]3)sc2c1,7.236572006437063
O=C(O)CCC(=O)Nc1ccc2[nH]c(=NC(=O)c3cc(Cl)c(Cl)[nH]3)sc2c1,6.366531544420414
CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(O)oc3c2C)OC1(C)C,6.769551078621726
